Id_muestreo,Id_muestreo_no_dc,Id_group,Nombre_institucion,Uniq_db,Fecha,Ano_grp,Ano,Mes,Dia,Julian_day,Sampling_day,Pc_start,Pc_length,N_samp_periods,N_reps,Rep_ano_grp,Season,Rep_season,Spp_obs,Registrado_por,Noise,Clima,Cows_50m,Canopy_cover,Canopy_height_m
C-MB-A-ED_01,MB-A-ED_01,C-MB-A-ED,Cipav,Cipav mbd,2017-11-04,16-17,2017,11,4,308,89,06:16:00,00:30:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,21.85828102366007,5.6
C-MB-A-ED_02,MB-A-ED_02,C-MB-A-ED,Cipav,Cipav mbd,2017-11-04,16-17,2017,11,4,308,89,07:27:00,00:08:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,20.937892701788304,6.3
C-MB-A-ED_03,MB-A-ED_03,C-MB-A-ED,Cipav,Cipav mbd,2017-11-04,16-17,2017,11,4,308,89,07:44:00,00:18:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,21.405940594059405,6.7
C-MB-A-ED_04,MB-A-ED_04,C-MB-A-ED,Cipav,Cipav mbd,2017-11-04,16-17,2017,11,4,308,89,08:03:00,00:22:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,22.39782345828295,7.7
C-MB-A-LF_01,MB-A-LF_01,C-MB-A-LF,Cipav,Cipav mbd,2016-11-28,16-17,2016,11,28,333,63,06:24:00,01:30:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,59.35736752963949,14.3
C-MB-A-LF_02,MB-A-LF_02,C-MB-A-LF,Cipav,Cipav mbd,2016-11-28,16-17,2016,11,28,333,63,07:59:00,00:15:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,52.17206379893669,10.7
C-MB-A-LF_03,MB-A-LF_03,C-MB-A-LF,Cipav,Cipav mbd,2016-11-28,16-17,2016,11,28,333,63,08:26:00,00:11:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,41.08093742449867,9.4
C-MB-A-LF_04,MB-A-LF_04,C-MB-A-LF,Cipav,Cipav mbd,2016-11-28,16-17,2016,11,28,333,63,08:59:00,00:12:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,29.876328502415458,7
C-MB-A-VE_01,MB-A-VE_01,C-MB-A-VE,Cipav,Cipav mbd,2016-11-29,16-17,2016,11,29,334,64,06:27:00,00:26:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,40.83896668276195,10.3
C-MB-A-VE_02,MB-A-VE_02,C-MB-A-VE,Cipav,Cipav mbd,2016-11-29,16-17,2016,11,29,334,64,08:55:00,00:25:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,36.99034049746438,7.2
C-MB-A-VE_03,MB-A-VE_03,C-MB-A-VE,Cipav,Cipav mbd,2016-11-29,16-17,2016,11,29,334,64,07:47:00,00:21:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,33.913422007255136,9.5
C-MB-A-VE_04,MB-A-VE_04,C-MB-A-VE,Cipav,Cipav mbd,2016-11-29,16-17,2016,11,29,334,64,08:29:00,00:04:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,31.05190729116369,3.6
C-MB-B-LEST_01,MB-B-LEST_01,C-MB-B-LEST,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,06:32:00,00:26:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,38.0851480303401,14.2
C-MB-B-LEST_02,MB-B-LEST_02,C-MB-B-LEST,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,07:00:00,00:21:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,36.90926876987039,9
C-MB-B-LEST_03,MB-B-LEST_03,C-MB-B-LEST,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,09:41:00,00:08:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,35.3717008797654,13.1
C-MB-B-LEST_04,MB-B-LEST_04,C-MB-B-LEST,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,09:51:00,00:05:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,39.357282502443795,17.9
C-MB-B-LES_01,MB-B-LES_01,C-MB-B-LES,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,10:00:00,00:26:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,3.4609164420485174,0
C-MB-B-LES_02,MB-B-LES_02,C-MB-B-LES,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,10:29:00,00:17:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,2.614310218083803,0
C-MB-B-LES_03,MB-B-LES_03,C-MB-B-LES,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,05:50:00,00:18:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,2.2019583843329253,13.7
C-MB-B-LES_04,MB-B-LES_04,C-MB-B-LES,Cipav,Cipav mbd,2017-04-07,16-17,2017,4,7,97,1,06:10:00,00:19:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,1.9870129870129871,0
C-MB-B-LM_01,MB-B-LM_01,C-MB-B-LM,Cipav,Cipav mbd,2017-08-08,16-17,2017,8,8,220,1,07:15:00,00:17:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,13.57656555772994,11.6
C-MB-B-LM_02,MB-B-LM_02,C-MB-B-LM,Cipav,Cipav mbd,2017-08-08,16-17,2017,8,8,220,1,06:19:00,00:08:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,8.851100244498777,0
C-MB-B-LM_03,MB-B-LM_03,C-MB-B-LM,Cipav,Cipav mbd,2017-08-08,16-17,2017,8,8,220,1,09:07:00,00:27:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,7.111491442542787,0
C-MB-B-LM_04,MB-B-LM_04,C-MB-B-LM,Cipav,Cipav mbd,2017-08-08,16-17,2017,8,8,220,1,09:52:00,00:06:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,6.148347613219094,0
C-MB-B-LP_01,MB-B-LP_01,C-MB-B-LP,Cipav,Cipav mbd,2017-08-09,16-17,2017,8,9,221,2,06:47:00,00:10:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,48.17237163814181,0
C-MB-B-LP_02,MB-B-LP_02,C-MB-B-LP,Cipav,Cipav mbd,2017-08-09,16-17,2017,8,9,221,2,07:21:00,00:00:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,47.37267839687195,16.6
C-MB-B-LP_03,MB-B-LP_03,C-MB-B-LP,Cipav,Cipav mbd,2017-08-09,16-17,2017,8,9,221,2,08:15:00,00:27:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,43.54712362301102,0
C-MB-B-LP_04,MB-B-LP_04,C-MB-B-LP,Cipav,Cipav mbd,2017-08-09,16-17,2017,8,9,221,2,09:37:00,00:31:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,44.12744618395303,0
C-MB-BL-EP_01,MB-BL-EP_01,C-MB-BL-EP,Cipav,Cipav mbd,2016-11-30,16-17,2016,11,30,335,65,08:49:00,00:20:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,5.347541777670138,0
C-MB-BL-EP_02,MB-BL-EP_02,C-MB-BL-EP,Cipav,Cipav mbd,2016-11-30,16-17,2016,11,30,335,65,08:21:00,00:21:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,5.114631197097944,2
C-MB-BL-EP_03,MB-BL-EP_03,C-MB-BL-EP,Cipav,Cipav mbd,2016-11-30,16-17,2016,11,30,335,65,07:44:00,00:21:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,5.1866504854368936,0
C-MB-BL-EP_04,MB-BL-EP_04,C-MB-BL-EP,Cipav,Cipav mbd,2016-11-30,16-17,2016,11,30,335,65,06:57:00,00:21:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,5.371946795646917,0
C-MB-CD-LMO_01,MB-CD-LMO_01,C-MB-CD-LMO,Cipav,Cipav mbd,2016-09-27,16-17,2016,9,27,271,1,06:04:00,00:23:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,58.38655256723716,10.3
C-MB-CD-LMO_02,MB-CD-LMO_02,C-MB-CD-LMO,Cipav,Cipav mbd,2016-09-27,16-17,2016,9,27,271,1,06:50:00,00:25:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,58.463157894736845,6.4
C-MB-CD-LMO_03,MB-CD-LMO_03,C-MB-CD-LMO,Cipav,Cipav mbd,2016-09-27,16-17,2016,9,27,271,1,08:02:00,00:12:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,57.893006134969326,5.2
C-MB-CD-LMO_04,MB-CD-LMO_04,C-MB-CD-LMO,Cipav,Cipav mbd,2016-09-27,16-17,2016,9,27,271,1,08:17:00,00:21:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,57.45300613496933,9.2
C-MB-CS-CA_01,MB-CS-CA_01,C-MB-CS-CA,Cipav,Cipav mbd,2016-10-17,16-17,2016,10,17,291,21,06:33:00,00:36:00,1,1,1,Early,1,1,"Alexander Velasquez, Amadeo Perdomo",NA,NA,NA,19.154312015503876,0
