Species_ayerbe,Species_bl,Total.individuals,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Migration_avo,Forest_bin,primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Migration_bb,clutch_min,clutch_max,clutch_mean,Elev_range_final,Source_elev,iucn_red_list,gen_length
Amazona ochrocephala,Amazona ochrocephala,9,4,38.3,32.6,19.7,32.9,22,212.9,60.8,154.8,28.3,116.5,476.94,Forest,Semi_open,Herbivore,Omnivore,Insessorial,-17.01,12.46,-1.78,-64.37,6626117.83,Sedentary,Forest,Herbivore,3,6,0.7447274948966939,Irregular,2,4,3,1000,Ayerbe,LC,16.48285725
Campylorhynchus griseus,Campylorhynchus griseus,4,4,29.6,19,4.5,6,29,83.8,10.6,73.2,12.6,82.2,42.4,Shrubland,Semi_open,Carnivore,Invertivore,Insessorial,1.21,12.46,7.65,-68.94,982980.09,Sedentary,Non-forest,Invertebrate,2,2,1.3979400086720377,Sedentary,3,5,4,2200,Ayerbe,LC,2.604889661
Columbina squammata,Columbina squammata,10,4,15.7,9.3,2.8,3.6,15.8,95,19.8,74.5,20.9,90.7,52.9,Human Modified,Open,Herbivore,Granivore,Terrestrial,-27.98,12.46,-11.81,-50.4,4814670.86,Sedentary,Non-forest,Seed,2,4,1.0969100130080565,Sedentary,2,2,2,1300,Ayerbe,LC,3.222785685
Columbina talpacoti,Columbina talpacoti,66,4,14.2,8.3,3.1,3.6,16.4,86.8,17.7,70.1,19.9,65.8,46.04,Human Modified,Open,Herbivore,Granivore,Terrestrial,-35.43,28.04,-7.62,-60.71,14617238.71,Partial,Non-forest,Seed,1,5,1.3010299956639813,Sedentary,1,3,2,2600,QJ,LC,2.668992315
Dendroplex picus,Dendroplex picus,20,4,28.6,22.6,4.8,6.5,20.7,98.2,18,83,17.8,83.4,41.34,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-21.87,12.46,-4.68,-59.42,9856567.73,Sedentary,Forest,Invertebrate,2,6,0.9208187539523752,Sedentary,2,3,2.5,600,Ayerbe,LC,3.640409969
Elaenia flavogaster,Elaenia flavogaster,80,12,12.7,7.2,5,4,21.4,77.4,12.7,64.5,16.4,70.6,24.8,Woodland,Open,Omnivore,Invertivore,Insessorial,-31,21.61,-6.86,-58.37,10327940.88,Sedentary,Forest,Invertebrate,2,5,1,Sedentary,1,3,2,2800,Multiple,LC,3.564263024
Eupsittula pertinax,Eupsittula pertinax,5,4,24.5,19.6,11.7,19.9,12.3,136.4,56.1,79.9,41.2,109,83.99,Woodland,Semi_open,Herbivore,Omnivore,Insessorial,-9.58,12.63,6.29,-66.15,1467382.65,Sedentary,Forest,Herbivore,3,6,0.7447274948966939,Altitudinal,2,7,4.5,1600,QJ,LC,2.716883955
Milvago chimachima,Milvago chimachima,10,4,30.5,20.3,11.3,14.5,49.4,285.9,85.5,199.9,29.9,198.4,315.21,Grassland,Open,Carnivore,Omnivore,Terrestrial,-33.21,12.46,-9.32,-58.06,13624390.7,Sedentary,Non-forest,Carnivore,4,6,0.619788758288394,Sedentary,1,4,2.5,2500,Ayerbe,LC,5.884648169
Crotophaga sulcirostris,Crotophaga sulcirostris,15,4,26.9,17.7,9.5,16.5,33.8,129.3,24.8,103,19.3,162.7,82.04,Human Modified,Open,Carnivore,Invertivore,Terrestrial,-23.6,30.19,12.58,-85.96,2696933.46,Sedentary,Non-forest,Invertebrate,3,3,1.045757490560675,Irregular,3,4,3.5,1200,Multiple,LC,3.192426485
Megaceryle torquata,Megaceryle torquata,22,4,83.6,65.2,14.9,21.1,14.3,191.3,46.5,143,24.5,120.2,317,Riverine,Open,Carnivore,Aquatic predator,Insessorial,-55.98,27.12,-12.31,-61.64,16295521.19,Sedentary,Forest,Fish,3,5,0.8239087409443188,Migratory,3,6,4.5,2500,Ayerbe,LC,4.48502311
Jacana jacana,Jacana jacana,13,7,34,18.4,4.1,6.4,53.9,129,25.8,104.1,20,43.1,106.24,Wetland,Open,Omnivore,Omnivore,Terrestrial,-37.84,12.49,-10.23,-58,13881637.25,Sedentary,Non-forest,Invertebrate,5,2,1,Irregular,4,4,4,2700,QJ,LC,3.294872734
Egretta caerulea,Egretta caerulea,11,10,78.1,60.6,9.5,12.6,92,257.8,98.3,160.2,38,88,338.61,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-27.37,42.25,6.61,-72.72,5634382.17,Sedentary,Non-forest,Carnivore,3,3,1.045757490560675,Irregular,2,5,3.5,3200,Ayerbe,LC,3.463573215
Tyrannus melancholicus,Tyrannus melancholicus,55,4,23.5,17.4,9.7,7.4,18.7,108.8,25.5,81.6,23.7,91.9,37.4,Human Modified,Open,Carnivore,Invertivore,Insessorial,-41.17,33.3,-8.87,-62.17,16505803.88,Sedentary,Non-forest,Invertebrate,2,4,1.0969100130080565,Migratory,1,4,2.5,3400,Ayerbe,LC,2.553791151
Ortalis garrula,Ortalis garrula,7,7,28.8,14.8,8.9,10.4,60.6,213.6,25.3,188.3,11.9,249.1,532,Shrubland,Dense,Herbivore,Frugivore,Insessorial,6.9,11.36,8.91,-74.91,109708.02,Sedentary,Non-forest,Fruit,2,4,1.0969100130080565,Sedentary,3,3,3,1600,Ayerbe,LC,4.345856726
Egretta thula,Egretta thula,8,4,86.3,69.2,9.4,12,93.3,252.8,79.8,167.3,31.9,110.3,371,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-43.4,45.35,3.56,-70.78,19270773.23,Partial,Non-forest,Fish,2,4,1.0969100130080565,Sedentary,2,6,4,3000,Ayerbe,LC,4.106743696
Myiarchus tuberculifer,Myiarchus tuberculifer,49,10,21.1,12.9,7.1,5.2,20.1,80.4,15.5,66.8,18.8,76.5,17.7,Forest,Dense,Carnivore,Invertivore,Insessorial,-26.87,34.88,-0.3,-68.52,10588401.3,Sedentary,Forest,Invertebrate,2,4,1.0969100130080565,Altitudinal,3,4,3.5,1800,Ayerbe,LC,2.87880942
Volatinia jacarina,Volatinia jacarina,159,4,10.4,7.1,4.3,5.6,16.8,47.8,7.1,43.2,14.1,42.8,9.94,Human Modified,Open,Herbivore,Granivore,Terrestrial,-34.7,28.32,-7.41,-61.58,15248241.41,Sedentary,Non-forest,Seed,3,3,1.045757490560675,Altitudinal,1,4,2.5,2200,Ayerbe,LC,2.364836628
Ardea alba,Ardea alba,16,8,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,32.1,140.5,871.33,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-52.61,57.34,10.02,28.87,74898555.49,Partial,Non-forest,Fish,3,4,0.9208187539523752,Migratory,1,6,3.5,3800,QJ,LC,6.036657469
Psarocolius decumanus,Psarocolius decumanus,14,4,51.8,34.1,11.2,17.8,46.5,198.6,49.1,146.2,24.8,170.3,206.3,Forest,Dense,Omnivore,Omnivore,Insessorial,-28.54,12.46,-7.1,-59.87,10475235.8,Sedentary,Forest,Omnivore,4,5,0.6989700043360189,Irregular,2,2,2,2700,Ayerbe,LC,4.960828231
Pitangus sulphuratus,Pitangus sulphuratus,53,8,29.3,21.1,10.1,9.1,25.8,111.9,20.6,92.5,18.1,84.8,62.85,Human Modified,Open,Carnivore,Omnivore,Insessorial,-44.52,29.41,-9.51,-61.83,16133982.75,Sedentary,Non-forest,Omnivore,4,7,0.5528419686577808,Irregular,2,5,3.5,2700,Ayerbe,LC,2.985169291
