Order,Family,Species_sacc_18,Species_ayerbe,Species_avilist_25,Species_bl,Species_eB,Species_bt,concept_id_sacc,concept_id_avilist,common_name_sacc,common_name_avilist
Psittaciformes,Psittacidae,Amazona ochrocephala,Amazona ochrocephala,Amazona ochrocephala,Amazona ochrocephala,Amazona ochrocephala,Amazona ochrocephala,45BCA1AA02597606,45BCA1AA02597606,Yellow-crowned Parrot,Yellow-crowned Amazon
Passeriformes,Troglodytidae,Campylorhynchus griseus,Campylorhynchus griseus,Campylorhynchus griseus,Campylorhynchus griseus,Campylorhynchus griseus,Campylorhynchus griseus,EBFB7E8D432BE664,EBFB7E8D432BE664,Bicolored Wren,Bicolored Wren
Columbiformes,Columbidae,Columbina squammata,Columbina squammata,Columbina squammata,Columbina squammata,Columbina squammata,Columbina squammata,26085D755AE75E42,26085D755AE75E42,Scaled Dove,Scaled Dove
Columbiformes,Columbidae,Columbina talpacoti,Columbina talpacoti,Columbina talpacoti,Columbina talpacoti,Columbina talpacoti,Columbina talpacoti,ADD11A5FC7F58167,ADD11A5FC7F58167,Ruddy Ground Dove,Ruddy Ground Dove
Passeriformes,Furnariidae,Dendroplex picus,Dendroplex picus,Dendroplex picus,Dendroplex picus,Dendroplex picus,Dendroplex picus,9C163605D9726273,9C163605D9726273,Straight-billed Woodcreeper,Straight-billed Woodcreeper
Passeriformes,Tyrannidae,Elaenia flavogaster,Elaenia flavogaster,Elaenia flavogaster,Elaenia flavogaster,Elaenia flavogaster,Elaenia flavogaster,B655AA73AA4B4A97,B655AA73AA4B4A97,Yellow-bellied Elaenia,Yellow-bellied Elaenia
Psittaciformes,Psittacidae,Eupsittula pertinax,Eupsittula pertinax,Eupsittula pertinax,Eupsittula pertinax,Eupsittula pertinax,Aratinga pertinax,C96642592C6262A2,C96642592C6262A2,Brown-throated Parakeet,Brown-throated Parakeet
Falconiformes,Falconidae,Milvago chimachima,Milvago chimachima,Daptrius chimachima,Milvago chimachima,Milvago chimachima,Milvago chimachima,BA33DDD5D79EAB89,BA33DDD5D79EAB89,Yellow-headed Caracara,Yellow-headed Caracara
Cuculiformes,Cuculidae,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris,C5B34740987E450C,C5B34740987E450C,Groove-billed Ani,Groove-billed Ani
Coraciiformes,Alcedinidae,Megaceryle torquata,Megaceryle torquata,Megaceryle torquata,Megaceryle torquata,Megaceryle torquata,Megaceryle torquata,5EFB075F50AF96F8,5EFB075F50AF96F8,Ringed Kingfisher,Ringed Kingfisher
Charadriiformes,Jacanidae,Jacana jacana,Jacana jacana,Jacana jacana,Jacana jacana,Jacana jacana,Jacana jacana,D324ED7DDFD95B76,D324ED7DDFD95B76,Wattled Jacana,Wattled Jacana
Pelecaniformes,Ardeidae,Egretta caerulea,Egretta caerulea,Egretta caerulea,Egretta caerulea,Egretta caerulea,Egretta caerulea,11512CF46992C660,11512CF46992C660,Little Blue Heron,Little Blue Heron
Passeriformes,Tyrannidae,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,BB6B236FADABFB3F,BB6B236FADABFB3F,Tropical Kingbird,Tropical Kingbird
Galliformes,Cracidae,Ortalis garrula,Ortalis garrula,Ortalis garrula,Ortalis garrula,Ortalis garrula,Ortalis garrula,B679EB0CC3CE7D58,B679EB0CC3CE7D58,Chestnut-winged Chachalaca,Chestnut-winged Chachalaca
Pelecaniformes,Ardeidae,Egretta thula,Egretta thula,Egretta thula,Egretta thula,Egretta thula,Egretta thula,AA7901D88E7203E5,AA7901D88E7203E5,Snowy Egret,Snowy Egret
Passeriformes,Tyrannidae,Myiarchus tuberculifer,Myiarchus tuberculifer,Myiarchus tuberculifer,Myiarchus tuberculifer,Myiarchus tuberculifer,Myiarchus tuberculifer,3D57A9826B626847,3D57A9826B626847,Dusky-capped Flycatcher,Dusky-capped Flycatcher
Passeriformes,Thraupidae,Volatinia jacarina,Volatinia jacarina,Volatinia jacarina,Volatinia jacarina,Volatinia jacarina,Volatinia jacarina,C50D59CFF9C409ED,C50D59CFF9C409ED,Blue-black Grassquit,Blue-black Grassquit
Pelecaniformes,Ardeidae,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Casmerodius albus,49D9148A171E7F2E,49D9148A171E7F2E,Great Egret,Great Egret
Passeriformes,Icteridae,Psarocolius decumanus,Psarocolius decumanus,Psarocolius decumanus,Psarocolius decumanus,Psarocolius decumanus,Psarocolius decumanus,509940AF4614AE9C,509940AF4614AE9C,Crested Oropendola,Crested Oropendola
Passeriformes,Tyrannidae,Pitangus sulphuratus,Pitangus sulphuratus,Pitangus sulphuratus,Pitangus sulphuratus,Pitangus sulphuratus,Pitangus sulphuratus,9C883C7BCFAEB70D,9C883C7BCFAEB70D,Great Kiskadee,Great Kiskadee
Accipitriformes,Accipitridae,Rupornis magnirostris,Rupornis magnirostris,Rupornis magnirostris,Rupornis magnirostris,Rupornis magnirostris,Buteo magnirostris,C39CC0F2B0D88669,C39CC0F2B0D88669,Roadside Hawk,Roadside Hawk
Coraciiformes,Alcedinidae,Chloroceryle americana,Chloroceryle americana,Chloroceryle americana,Chloroceryle americana,Chloroceryle americana,Chloroceryle americana,ED7D674117006CCB,ED7D674117006CCB,Green Kingfisher,Green Kingfisher
Cuculiformes,Cuculidae,Crotophaga major,Crotophaga major,Crotophaga major,Crotophaga major,Crotophaga major,Crotophaga major,0DD11B7501C1FD3C,0DD11B7501C1FD3C,Greater Ani,Greater Ani
Passeriformes,Tyrannidae,Tolmomyias sulphurescens,Tolmomyias sulphurescens,Tolmomyias sulphurescens,Tolmomyias sulphurescens,Tolmomyias sulphurescens,Tolmomyias sulphurescens,90069CDDF5B27154,90069CDDF5B27154,Yellow-olive Flycatcher,Yellow-olive Flatbill
Passeriformes,Tyrannidae,Todirostrum nigriceps,Todirostrum nigriceps,Todirostrum nigriceps,Todirostrum nigriceps,Todirostrum nigriceps,Todirostrum nigriceps,3951009EF4F27C08,3951009EF4F27C08,Black-headed Tody-Flycatcher,Black-headed Tody-Flycatcher
Piciformes,Picidae,Dryocopus lineatus,Dryocopus lineatus,Dryocopus lineatus,Hylatomus lineatus,Dryocopus lineatus,Dryocopus lineatus,3CD8FECCC54D40ED,3CD8FECCC54D40ED,Lineated Woodpecker,Lineated Woodpecker
Passeriformes,Troglodytidae,Campylorhynchus nuchalis,Campylorhynchus nuchalis,Campylorhynchus nuchalis,Campylorhynchus nuchalis,Campylorhynchus nuchalis,Campylorhynchus nuchalis,5987A3C3605C954F,5987A3C3605C954F,Stripe-backed Wren,Stripe-backed Wren
Passeriformes,Tyrannidae,Machetornis rixosa,Machetornis rixosa,Machetornis rixosa,Machetornis rixosa,Machetornis rixosa,Machetornis rixosa,87874F973B876854,87874F973B876854,Cattle Tyrant,Cattle Tyrant
