name_current,name_en,name_es,tables
Ano,Ano,,Event_covs
Ano_grp,Ano_grp,,Event_covs
Avg_temp,Avg_temp,,Site_covs
Beak.Depth,Beak.Depth,,Functional_traits
Beak.Length_Culmen,Beak.Length_Culmen,,Functional_traits
Beak.Length_Nares,Beak.Length_Nares,,Functional_traits
Beak.Width,Beak.Width,,Functional_traits
Canopy_cover,Canopy_cover,,Event_covs
Canopy_height_m,Canopy_height_m,,Event_covs
Centroid.Latitude,Centroid.Latitude,,Functional_traits
Centroid.Longitude,Centroid.Longitude,,Functional_traits
Clima,Clima,,Event_covs
Clutch,Clutch,,Functional_traits
Complete.measures,Complete.measures,,Functional_traits
Count,Count,,Bird_pcs_all; Bird_pcs_analysis
Cows_50m,Cows_50m,,Event_covs
Departamento,Departamento,,Site_covs
Dia,Dia,,Event_covs
Diet_breadth,Diet_breadth,,Functional_traits
Dist_forest,Dist_forest,,Event_covs
Distancia_bird,Distancia_bird,,Bird_pcs_all
Distancia_farm,Distancia_farm,,Site_covs
Ecological_specialization,Ecological_specialization,,Functional_traits
Ecoregion,Ecoregion,,Site_covs
Elev,Elev,,Site_covs
Elev_range_final,Elev_range_final,,Functional_traits
Eye_resid,Eye_resid,,Functional_traits
Family,Family,,Taxonomy
Fecha,Fecha,,Bird_pcs_all; Bird_pcs_analysis; Event_covs
Forest_bin,Forest_bin,,Functional_traits
Grabacion,Grabacion,,Bird_pcs_all
Habitat,Habitat,,Functional_traits; Site_covs
Habitat.Density,Habitat.Density,,Functional_traits
Habitat_breadth,Habitat_breadth,,Functional_traits
Habitat_sub,Habitat_sub,,Site_covs
Hand-Wing.Index,Hand-Wing.Index,,Functional_traits
Id_gcs,Id_gcs,,Site_covs
Id_group,Id_group,,Event_covs
Id_group_no_dc,Id_group_no_dc,,Site_covs
Id_muestreo,Id_muestreo,,Bird_pcs_all; Bird_pcs_analysis; Event_covs
Id_muestreo_no_dc,Id_muestreo_no_dc,,Bird_pcs_all; Bird_pcs_analysis; Event_covs; Site_covs
Julian_day,Julian_day,,Event_covs
Kipps.Distance,Kipps.Distance,,Functional_traits
Lat,Lat,,Site_covs
Long,Long,,Site_covs
Mass,Mass,,Functional_traits
Max.Latitude,Max.Latitude,,Functional_traits
Mes,Mes,,Event_covs
Migration_avo,Migration_avo,,Functional_traits
Migration_bb,Migration_bb,,Functional_traits
Min.Latitude,Min.Latitude,,Functional_traits
N_nest_locs,N_nest_locs,,Functional_traits
N_reps,N_reps,,Event_covs
N_samp_periods,N_samp_periods,,Event_covs
Nest_exposure,Nest_exposure,,Functional_traits
Nest_ground_bush,Nest_ground_bush,,Functional_traits
Noise,Noise,,Event_covs
Nombre_finca,Nombre_finca,,Site_covs
Nombre_institucion,Nombre_institucion,,Event_covs
Order,Order,,Taxonomy
Pc_length,Pc_length,,Event_covs
Pc_start,Pc_start,,Bird_pcs_all; Bird_pcs_analysis; Event_covs
Primary.Lifestyle,Primary.Lifestyle,,Functional_traits
Range.Size,Range.Size,,Functional_traits
Registrado_por,Registrado_por,,Event_covs
Rep_ano_grp,Rep_ano_grp,,Event_covs
Rep_season,Rep_season,,Event_covs
Sampling_day,Sampling_day,,Event_covs
Season,Season,,Event_covs
Secondary,Secondary,,Functional_traits
Source_elev,Source_elev,,Functional_traits
Source_eye,Source_eye,,Functional_traits
Species_avilist_25,Species_avilist_25,,Taxonomy
Species_ayerbe,Species_ayerbe,,Bird_pcs_all; Bird_pcs_analysis; Functional_traits; Taxonomy
Species_bl,Species_bl,,Functional_traits; Taxonomy
Species_bt,Species_bt,,Taxonomy
Species_eB,Species_eB,,Taxonomy
Species_sacc_18,Species_sacc_18,,Taxonomy
Spp_obs,Spp_obs,,Event_covs
Tail.Length,Tail.Length,,Functional_traits
Tarsus.Length,Tarsus.Length,,Functional_traits
Tipo_registro,Tipo_registro,,Bird_pcs_all
Tot_prec,Tot_prec,,Site_covs
Total.individuals,Total.individuals,,Functional_traits
Trophic.Level,Trophic.Level,,Functional_traits
Trophic.Niche,Trophic.Niche,,Functional_traits
Uniq_db,Uniq_db,,Event_covs
Wing.Length,Wing.Length,,Functional_traits
clutch_max,clutch_max,,Functional_traits
clutch_mean,clutch_mean,,Functional_traits
clutch_min,clutch_min,,Functional_traits
common_name_avilist,common_name_avilist,,Taxonomy
common_name_sacc,common_name_sacc,,Taxonomy
concept_id_avilist,concept_id_avilist,,Taxonomy
concept_id_sacc,concept_id_sacc,,Taxonomy
forest,forest,,Event_covs
forest_typ,forest_typ,,Event_covs
gen_length,gen_length,,Functional_traits
intpast,intpast,,Event_covs
iucn_red_list,iucn_red_list,,Functional_traits
other,other,,Event_covs
primary_diet,primary_diet,,Functional_traits
ssp,ssp,,Event_covs
te,te,,Event_covs
