name_en,name_es,tables
Ano,,Event_covs
Ano_grp,,Event_covs
Avg_temp,,Site_covs
Beak.Depth,,Functional_traits
Beak.Length_Culmen,,Functional_traits
Beak.Length_Nares,,Functional_traits
Beak.Width,,Functional_traits
Canopy_cover,,Event_covs
Canopy_height_m,,Event_covs
Centroid.Latitude,,Functional_traits
Centroid.Longitude,,Functional_traits
Clima,,Event_covs
Clutch,,Functional_traits
Complete.measures,,Functional_traits
Count,,Bird_pcs_all; Bird_pcs_analysis
Cows_50m,,Event_covs
Departamento,,Site_covs
Dia,,Event_covs
Diet_breadth,,Functional_traits
Dist_forest,,Event_covs
Distancia_bird,,Bird_pcs_all
Distancia_farm,,Site_covs
Ecological_specialization,,Functional_traits
Ecoregion,,Site_covs
Elev,,Site_covs
Elev_range_final,,Functional_traits
Eye_resid,,Functional_traits
Family,,Taxonomy
Fecha,,Bird_pcs_all; Bird_pcs_analysis; Event_covs
Forest_bin,,Functional_traits
Grabacion,,Bird_pcs_all
Habitat,,Functional_traits; Site_covs
Habitat.Density,,Functional_traits
Habitat_breadth,,Functional_traits
Habitat_sub,,Site_covs
Hand-Wing.Index,,Functional_traits
Id_gcs,,Site_covs
Id_group,,Event_covs
Id_group_no_dc,,Site_covs
Id_muestreo,,Bird_pcs_all; Bird_pcs_analysis; Event_covs
Id_muestreo_no_dc,,Bird_pcs_all; Bird_pcs_analysis; Event_covs; Site_covs
Julian_day,,Event_covs
Kipps.Distance,,Functional_traits
Lat,,Site_covs
Long,,Site_covs
Mass,,Functional_traits
Max.Latitude,,Functional_traits
Mes,,Event_covs
Migration_avo,,Functional_traits
Migration_bb,,Functional_traits
Min.Latitude,,Functional_traits
N_nest_locs,,Functional_traits
N_reps,,Event_covs
N_samp_periods,,Event_covs
Nest_exposure,,Functional_traits
Nest_ground_bush,,Functional_traits
Noise,,Event_covs
Nombre_finca,,Site_covs
Nombre_institucion,,Event_covs
Order,,Taxonomy
Pc_length,,Event_covs
Pc_start,,Bird_pcs_all; Bird_pcs_analysis; Event_covs
Primary.Lifestyle,,Functional_traits
Range.Size,,Functional_traits
Registrado_por,,Event_covs
Rep_ano_grp,,Event_covs
Rep_season,,Event_covs
Sampling_day,,Event_covs
Season,,Event_covs
Secondary,,Functional_traits
Source_elev,,Functional_traits
Source_eye,,Functional_traits
Species_avilist_25,,Taxonomy
Species_ayerbe,,Bird_pcs_all; Bird_pcs_analysis; Functional_traits; Taxonomy
Species_bl,,Functional_traits; Taxonomy
Species_bt,,Taxonomy
Species_eB,,Taxonomy
Species_sacc_18,,Taxonomy
Spp_obs,,Event_covs
Tail.Length,,Functional_traits
Tarsus.Length,,Functional_traits
Tipo_registro,,Bird_pcs_all
Tot_prec,,Site_covs
Total.individuals,,Functional_traits
Trophic.Level,,Functional_traits
Trophic.Niche,,Functional_traits
Uniq_db,,Event_covs
Wing.Length,,Functional_traits
clutch_max,,Functional_traits
clutch_mean,,Functional_traits
clutch_min,,Functional_traits
common_name_avilist,,Taxonomy
common_name_sacc,,Taxonomy
concept_id_avilist,,Taxonomy
concept_id_sacc,,Taxonomy
forest,,Event_covs
forest_typ,,Event_covs
gen_length,,Functional_traits
intpast,,Event_covs
iucn_red_list,,Functional_traits
other,,Event_covs
primary_diet,,Functional_traits
ssp,,Event_covs
te,,Event_covs
